,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,E1,E2,E3,E4,E5,N1,N2,N3,N4,N5,O1,O2,O3,O4,O5,gender,education,age,completed
63075,1,6,5,6,5,6,5,5,4,2,4,5,4,5,5,3,3,5,4,6,4,5,6,5,4,1,2,24,1
63077,1,5,5,5,6,5,5,5,2,1,6,5,2,5,3,5,5,5,6,5,2,2,5,4,2,2,4,45,1
63081,3,4,5,6,5,4,6,4,1,1,2,2,5,5,6,3,3,3,2,1,6,3,5,4,5,2,3,43,1
63083,2,5,5,6,4,3,4,4,3,3,4,4,4,4,5,4,5,4,4,4,4,5,4,4,3,2,NA,15,1
63084,1,6,6,4,5,5,4,5,2,1,2,2,5,6,5,1,4,3,4,1,4,1,5,5,2,2,NA,15,1
63089,2,5,5,3,5,5,6,3,1,6,1,2,4,5,5,5,5,6,5,4,6,1,5,5,2,1,NA,16,1
63090,5,6,6,4,5,5,5,4,2,3,3,2,5,6,4,1,2,2,2,2,6,1,3,5,2,1,NA,16,1
63092,5,4,5,1,5,3,5,5,4,2,3,4,4,3,2,4,5,3,5,2,6,2,5,5,1,1,NA,15,1
63094,3,5,2,NA,5,4,3,3,3,5,4,4,3,4,2,4,4,2,2,1,5,1,4,5,2,1,NA,16,1
63096,1,6,5,6,5,4,5,5,1,2,1,2,4,5,4,1,2,2,1,2,5,1,4,5,2,2,4,27,1
63097,1,6,6,6,6,5,6,6,2,1,1,4,6,4,5,6,5,4,5,6,2,4,4,6,2,2,5,37,1
63099,1,5,6,6,1,3,5,5,2,2,2,1,4,6,4,1,1,2,3,3,5,3,4,2,5,2,2,25,1
63100,3,2,4,1,4,5,6,3,2,4,4,3,2,4,5,4,6,5,4,1,3,1,4,2,3,2,NA,16,1
63102,1,6,4,5,4,5,5,5,1,4,3,3,5,5,5,3,4,2,2,2,4,6,4,5,4,2,3,21,1
63103,5,6,3,2,2,5,6,6,1,2,5,3,4,5,4,2,5,3,3,5,6,1,6,6,5,1,NA,16,1
63104,4,4,3,3,3,3,3,3,3,4,3,4,3,6,3,3,3,4,3,3,3,3,3,3,3,1,NA,16,1
63108,2,3,4,4,5,3,2,5,4,6,3,2,4,5,2,2,4,1,2,1,3,3,3,4,3,1,3,27,1
63109,2,6,4,2,5,5,5,5,1,1,5,2,6,4,6,3,3,1,1,NA,6,4,4,6,1,2,3,27,1
63112,2,4,4,3,5,3,2,3,4,4,4,2,5,5,5,1,1,2,2,1,4,1,3,6,2,1,3,30,1
63115,2,5,5,6,5,5,5,5,5,4,6,4,3,5,2,2,2,2,3,3,6,2,4,6,5,1,3,23,1
63116,5,6,6,6,6,4,5,5,2,1,1,1,5,6,5,1,NA,2,1,2,4,3,5,4,3,1,3,41,1
63120,2,5,5,3,2,5,4,6,1,4,3,6,2,1,5,6,6,6,3,2,5,1,4,3,2,2,3,26,1
63121,2,6,5,6,5,6,6,6,1,5,2,2,4,5,4,1,4,4,1,2,5,6,3,4,3,2,3,17,1
63122,2,4,4,4,5,3,4,3,3,4,4,4,3,4,4,3,3,3,4,2,5,2,4,5,2,2,3,35,1
63123,3,1,5,6,4,5,6,1,2,1,5,3,5,6,5,1,1,1,1,1,6,4,6,6,1,1,3,18,1
63125,2,4,2,2,3,5,5,5,2,2,4,5,2,3,2,4,5,3,4,4,5,3,4,4,5,1,3,19,1
63127,2,5,6,6,2,5,5,5,1,2,2,5,2,2,5,2,5,6,2,6,4,6,4,6,2,1,2,42,1
63128,2,6,6,6,5,5,5,6,2,2,1,2,5,6,4,2,4,4,2,4,5,2,5,4,2,2,3,19,1
63130,1,6,6,5,5,5,4,5,2,6,1,2,6,6,6,5,6,5,4,6,6,6,5,5,2,2,3,35,1
63131,1,6,NA,6,6,5,6,5,NA,1,1,3,6,5,5,1,1,5,1,1,5,1,4,5,2,2,3,52,1
63135,2,5,4,5,5,4,4,5,3,4,3,2,4,5,5,4,3,2,2,2,5,4,4,4,4,1,3,19,1
63136,2,6,5,5,2,4,6,5,2,4,2,6,4,3,5,2,4,5,4,2,4,4,5,5,1,2,3,41,1
63139,1,6,5,6,6,5,5,6,2,2,2,2,5,5,6,4,4,1,1,3,5,3,4,5,2,2,4,23,1
63141,1,6,6,NA,5,1,6,6,1,1,2,5,4,4,6,5,5,6,4,3,5,1,2,5,1,2,3,42,1
63142,2,5,5,5,5,3,4,5,2,4,2,2,6,6,6,3,2,3,2,2,5,4,5,6,2,1,1,19,1
63146,1,6,6,6,1,4,2,2,2,4,1,1,6,5,6,2,2,2,3,2,6,1,6,5,1,2,3,45,1
63147,1,5,4,5,5,6,5,6,1,1,2,1,5,6,5,3,3,4,2,3,5,1,5,5,2,2,3,44,1
63152,1,3,4,4,4,5,6,4,4,4,6,4,2,3,2,3,2,1,1,2,5,1,4,6,2,1,3,21,1
63154,2,6,5,6,4,5,5,6,2,3,1,2,5,6,5,3,5,2,2,2,5,4,5,3,3,2,1,19,1
63155,3,6,5,4,4,5,5,6,2,4,4,4,3,4,5,4,4,5,4,5,6,4,6,6,2,1,3,18,1
63158,1,1,5,6,6,6,5,2,1,5,4,5,2,5,3,3,4,4,2,3,6,1,6,6,1,1,5,34,1
63161,2,6,4,2,5,NA,3,3,1,1,5,4,6,3,5,1,1,1,4,1,6,1,5,4,1,1,5,25,1
63163,1,6,5,6,5,6,6,6,1,2,1,2,4,6,6,1,4,1,3,1,6,1,5,6,1,2,5,53,1
63165,1,5,5,6,5,3,4,3,2,2,2,3,3,5,3,3,3,3,3,2,4,2,2,5,2,2,3,36,1
63171,5,4,6,2,4,4,4,4,3,5,5,4,2,4,5,5,6,5,4,5,5,1,5,6,6,1,1,19,1
63172,5,6,6,6,6,6,5,5,1,1,2,3,5,6,6,2,5,4,NA,4,6,4,5,4,3,2,4,31,1
63173,3,5,5,3,4,4,4,6,2,4,1,3,5,5,6,3,5,4,5,3,6,2,4,6,2,1,5,23,1
63176,1,6,6,5,6,4,5,5,2,2,2,1,3,5,5,1,1,2,2,1,6,4,4,3,2,2,3,19,1
63181,3,4,5,6,2,3,5,4,2,3,3,2,3,5,4,2,3,2,2,5,2,2,3,2,2,2,3,26,1
63182,2,4,4,6,4,4,5,4,2,2,1,2,4,5,4,4,3,5,6,2,2,3,5,5,3,2,2,23,1
63183,3,4,4,6,5,3,3,2,3,4,1,1,3,6,4,2,2,1,1,1,4,3,4,3,2,1,3,25,1
63187,3,3,3,4,5,3,5,5,1,6,1,4,4,5,5,4,3,4,2,4,5,4,4,4,3,2,NA,17,1
63192,2,5,4,4,3,4,3,4,3,4,3,4,3,3,3,4,4,4,4,2,4,3,3,5,4,2,1,17,1
63193,3,5,2,1,2,5,1,2,2,4,1,2,5,5,6,4,6,3,2,3,5,2,6,5,5,2,1,17,1
63194,4,6,4,2,4,4,4,4,4,4,4,2,3,5,3,4,5,2,2,2,5,1,4,5,3,1,NA,17,1
63197,2,5,5,2,4,5,5,4,3,4,2,2,4,5,5,5,6,5,5,5,2,3,4,6,2,2,3,16,1
63200,3,6,6,3,4,3,4,6,2,1,6,3,1,4,4,2,1,2,6,6,6,2,6,2,3,1,NA,17,1
63201,1,5,6,5,5,5,4,4,2,2,2,1,5,6,4,2,3,2,4,1,6,4,4,5,3,1,NA,17,1
63203,2,4,5,1,5,4,2,2,4,3,2,5,4,4,4,3,4,3,3,4,5,5,3,4,4,1,NA,17,1
63209,1,5,4,5,5,6,6,2,1,1,NA,6,2,5,5,4,4,5,6,6,4,2,3,6,4,2,3,20,1
63215,3,4,6,1,2,5,5,2,3,5,1,6,5,4,5,4,5,5,6,2,3,2,5,6,4,2,NA,17,1
63222,3,4,2,3,4,4,5,3,3,5,2,4,5,5,5,4,4,4,5,2,5,2,5,6,1,1,NA,17,1
63223,2,5,6,5,4,3,2,2,5,6,2,3,3,6,4,3,3,5,4,3,3,2,3,6,2,1,NA,16,1
63225,2,5,6,2,4,6,6,6,1,4,3,2,2,5,3,2,4,1,5,5,3,4,2,6,3,2,NA,17,1
63227,2,4,5,2,3,4,4,4,2,4,1,5,4,4,4,4,4,4,5,4,4,3,4,4,3,2,NA,17,1
63228,1,5,5,5,5,3,4,3,4,4,1,4,5,4,6,3,3,3,2,4,5,1,4,6,2,1,NA,17,1
63233,1,5,5,6,4,5,5,3,2,3,5,4,2,2,5,5,2,4,2,4,5,2,5,5,1,2,3,24,1
63237,2,6,6,6,6,5,5,5,3,4,2,1,5,6,6,2,5,3,2,1,5,2,5,5,2,1,3,18,1
63238,1,5,6,2,3,5,3,2,2,4,5,4,4,5,6,2,3,5,5,2,6,4,6,6,2,1,3,22,1
63239,3,6,6,6,6,6,5,6,2,1,1,1,6,6,5,2,2,3,2,2,6,1,5,6,1,2,3,27,1
63242,2,5,5,5,5,4,4,5,2,2,3,2,2,5,2,1,1,2,2,1,2,4,2,4,3,2,3,32,1
63245,1,6,6,6,5,5,6,6,4,3,4,4,5,5,5,4,2,2,3,4,6,4,6,6,1,1,1,34,1
63246,1,6,5,2,4,5,3,5,1,1,1,1,3,6,5,5,4,4,1,1,6,1,6,6,1,2,4,22,1
63250,2,5,5,4,5,5,4,4,2,5,2,4,5,5,3,3,3,3,2,3,4,1,4,3,3,1,5,21,1
63252,1,5,5,6,4,5,5,5,2,2,2,2,2,2,6,5,6,2,4,4,6,1,5,5,2,2,3,24,1
63253,2,6,3,3,3,2,2,4,3,4,4,6,3,2,3,5,5,5,5,4,3,2,4,6,3,2,3,19,1
63258,1,4,6,6,6,4,5,5,2,3,1,4,5,6,NA,3,3,2,1,1,4,3,6,5,1,2,3,30,1
63261,4,5,5,6,5,4,6,5,2,2,5,2,4,5,5,3,3,3,3,3,6,2,5,6,2,2,3,20,1
63264,3,4,4,2,4,2,2,4,5,6,2,2,4,5,5,6,6,5,5,4,4,4,4,5,3,2,2,19,1
63266,1,5,6,6,4,5,5,4,2,2,5,5,2,3,3,2,4,4,4,5,3,2,4,6,3,2,4,23,1
63271,3,3,4,2,3,3,3,3,3,4,3,4,4,4,2,3,3,2,3,3,3,4,3,4,4,1,1,19,1
63277,1,6,5,5,5,4,4,3,3,5,1,2,5,5,4,2,2,3,2,2,5,2,5,5,1,2,3,21,1
63278,NA,3,4,3,3,3,3,3,2,3,3,3,2,6,3,4,3,NA,3,2,4,4,2,4,3,2,NA,17,1
63280,1,5,5,4,4,4,4,6,3,5,1,1,4,6,5,3,4,4,3,2,6,1,6,6,1,1,3,21,1
63281,1,5,4,5,5,5,5,5,3,3,2,4,6,2,4,4,3,5,2,5,4,2,6,5,2,1,3,25,1
63286,3,4,5,5,4,4,4,4,4,5,2,2,3,6,4,2,3,2,2,3,5,4,4,4,2,2,3,22,1
63287,5,6,6,5,5,5,5,6,1,1,6,1,5,5,6,1,1,1,1,1,6,1,6,5,1,1,3,21,1
63289,1,4,3,5,3,1,5,5,6,6,6,6,2,2,1,5,4,6,6,6,4,6,4,6,1,2,NA,14,1
63292,4,3,4,4,3,5,4,5,3,3,2,2,4,5,5,4,4,4,3,2,4,3,5,4,3,1,3,21,1
63293,2,5,4,2,4,4,4,4,2,2,2,3,5,4,4,2,3,2,2,3,4,2,5,5,2,2,2,19,1
63294,5,3,4,4,5,4,3,2,4,4,1,1,3,6,4,4,4,2,2,3,3,2,5,3,3,2,NA,13,1
63301,3,3,5,6,5,3,5,5,2,2,1,2,4,6,6,2,2,5,1,3,5,3,3,3,3,2,2,31,1
63302,1,5,5,2,5,5,5,3,2,4,5,4,4,4,5,2,4,2,3,1,5,2,2,5,2,2,4,34,1
63307,4,5,2,1,4,5,4,5,4,4,5,5,4,5,3,5,5,5,5,5,4,5,5,6,3,2,NA,15,1
63309,1,5,1,5,6,3,5,5,4,1,1,4,4,5,5,2,5,1,1,1,6,1,6,6,5,2,1,37,1
63313,2,5,5,4,5,5,4,4,4,5,1,2,5,6,5,3,3,1,2,3,4,4,5,4,2,2,5,39,1
63317,1,6,6,6,6,4,4,4,2,3,1,5,6,5,5,5,6,6,4,5,5,2,5,6,2,2,NA,17,1
63320,1,6,3,4,2,5,6,5,1,1,2,3,4,5,4,4,1,3,2,5,5,2,6,6,1,1,1,16,1
63321,3,5,6,6,5,4,4,3,3,3,2,3,5,6,4,1,4,3,2,2,3,5,4,5,1,1,1,16,1
63322,4,4,2,1,5,6,4,4,2,5,1,4,5,5,4,2,2,1,1,1,6,1,6,6,1,1,NA,16,1
63324,1,1,1,3,1,1,1,1,6,6,1,6,1,2,1,6,4,5,3,5,1,6,1,2,6,1,NA,40,1
63326,2,4,3,2,4,3,3,4,2,3,5,2,2,4,4,1,3,6,5,4,5,1,4,6,1,2,NA,17,1
63328,4,6,6,1,6,6,5,6,1,1,1,3,4,5,5,5,6,5,1,6,5,3,6,5,1,2,1,17,1
63330,3,5,4,3,4,4,4,4,5,5,5,2,3,4,5,5,5,5,4,3,4,6,3,6,2,1,NA,17,1
63331,1,6,5,5,4,4,2,3,2,2,1,2,5,6,5,2,4,2,1,5,4,4,4,5,3,1,NA,17,1
63332,4,3,1,1,5,6,6,4,1,1,6,2,6,1,5,4,2,1,2,1,6,1,6,6,1,1,5,74,1
63334,1,6,NA,6,6,4,5,5,6,4,1,1,5,6,6,4,5,5,2,2,5,1,5,5,2,2,1,17,1
63335,2,5,5,6,5,5,4,4,3,3,2,2,5,5,5,3,NA,5,3,4,5,1,NA,4,1,2,3,30,1
63337,5,2,2,2,4,6,6,6,1,1,1,1,5,6,6,2,5,1,1,1,6,1,6,1,1,1,4,48,1
63338,2,5,5,5,2,4,5,4,4,4,2,2,5,5,4,4,5,1,3,4,5,3,5,5,2,2,3,32,1
63339,2,5,5,2,5,6,5,5,1,2,3,2,5,5,6,1,1,4,4,1,6,1,5,6,1,2,4,44,1
63340,2,6,6,6,6,6,6,5,1,3,1,1,5,6,5,2,2,2,4,6,5,2,4,2,4,2,3,40,1
63342,2,5,5,5,5,5,5,4,3,2,1,2,6,5,5,2,3,3,2,3,5,3,5,4,2,2,4,23,1
63346,1,6,3,5,6,5,5,6,1,4,1,1,4,6,5,4,4,4,2,2,5,2,6,4,4,2,3,40,1
63351,1,6,6,6,6,5,5,4,2,2,2,2,3,6,5,2,2,2,1,2,5,2,4,5,2,2,3,39,1
63352,6,5,5,4,5,4,2,4,3,5,2,3,5,5,4,4,4,5,4,5,4,2,5,6,1,1,NA,17,1
63358,4,4,3,5,4,4,5,2,4,5,4,4,3,4,2,6,5,5,5,5,3,6,2,5,4,2,3,25,1
63361,3,5,5,6,5,3,5,4,2,2,3,4,4,3,4,1,2,1,1,1,4,2,4,5,2,2,1,24,1
63364,2,5,5,4,5,3,3,4,3,4,1,1,5,6,2,4,2,1,1,4,4,2,4,4,3,1,NA,14,1
63369,2,5,5,5,NA,4,5,5,5,6,1,2,4,6,3,6,5,3,5,6,3,2,5,3,3,2,3,26,1
63370,2,6,4,4,4,4,4,5,1,2,1,3,4,4,6,4,3,1,1,1,5,1,4,3,1,1,4,34,1
63371,4,5,4,2,5,3,4,4,3,5,3,4,4,6,4,3,5,4,3,4,5,2,5,4,2,2,3,20,1
63372,2,5,2,4,6,4,1,2,5,5,1,3,2,5,2,2,2,5,6,6,5,1,5,6,1,2,3,63,1
63375,2,6,4,3,5,3,3,4,4,4,2,2,5,6,5,NA,2,2,3,3,5,2,5,5,3,2,1,18,1
63376,1,6,6,6,6,4,6,5,2,2,1,1,6,6,6,1,4,4,4,4,6,1,6,6,1,2,5,28,1
63378,2,5,6,6,5,5,5,5,2,NA,1,1,4,6,5,1,2,4,2,1,4,1,5,5,4,2,2,48,1
63379,5,5,4,6,4,6,5,5,2,4,3,4,3,6,4,3,4,5,5,2,4,5,2,5,2,2,3,39,1
63382,3,5,5,5,5,5,5,5,2,2,2,1,5,6,6,1,1,2,1,1,6,3,5,5,2,1,4,35,1
63383,5,5,5,4,5,5,4,4,2,3,3,5,5,5,NA,2,4,2,2,1,5,4,4,4,4,2,2,46,1
63386,2,5,5,4,2,4,4,5,1,4,2,4,3,4,4,1,1,2,4,2,5,1,5,5,1,1,3,20,1
63389,1,5,5,6,5,5,6,6,1,2,5,2,2,5,5,2,2,1,1,2,5,6,2,2,4,2,3,23,1
63395,2,2,5,5,4,5,NA,5,1,1,1,2,3,5,5,3,2,4,4,1,5,1,5,5,2,2,3,39,1
63399,1,6,6,6,1,5,2,5,2,4,2,4,4,6,4,1,1,1,1,2,5,3,1,2,3,2,2,42,1
63400,2,5,5,6,5,4,5,6,NA,1,2,2,4,4,6,4,4,4,1,4,4,6,4,4,4,1,3,26,1
63402,1,5,5,6,4,4,4,4,5,6,1,3,3,2,4,6,6,4,6,3,5,5,5,6,2,2,3,19,1
63404,5,4,2,4,5,5,6,5,2,4,2,5,4,5,4,2,5,5,5,5,5,4,3,NA,2,1,1,38,1
63406,2,4,6,1,4,6,3,4,3,5,1,1,3,1,6,6,4,1,4,6,1,1,6,6,2,2,3,22,1
63408,3,5,5,5,6,4,4,6,3,3,2,2,5,6,6,2,2,3,3,3,5,4,5,6,3,2,3,23,1
63412,2,6,6,6,6,5,5,6,2,1,2,1,6,6,5,2,3,2,2,4,6,4,5,6,3,2,3,24,1
63413,1,6,6,6,5,6,6,5,1,1,2,3,5,5,5,2,5,6,2,6,5,2,5,5,1,2,4,25,1
63414,4,6,4,6,4,5,5,4,5,6,1,1,2,5,4,5,6,6,6,6,1,6,2,5,6,2,3,21,1
63420,3,5,5,5,2,5,3,5,2,5,4,2,4,1,5,3,4,5,4,4,4,1,2,4,3,2,4,39,1
63421,3,5,5,5,5,5,2,5,2,2,2,2,5,5,5,2,1,2,2,2,3,1,3,3,2,1,5,31,1
63427,3,4,4,4,2,5,4,5,2,2,2,2,4,6,4,5,5,3,4,1,4,4,4,6,4,1,1,18,1
63428,6,3,2,4,4,6,6,6,1,2,4,4,5,6,5,1,4,1,1,1,6,2,6,6,1,1,3,20,1
63430,6,2,1,4,4,6,6,6,1,1,4,4,5,5,5,1,3,1,1,1,6,2,6,4,1,1,3,20,1
63431,3,4,5,4,6,4,3,4,4,4,4,3,5,5,4,3,5,2,2,2,6,3,5,NA,4,1,2,23,1
63432,3,5,5,5,5,5,5,5,2,4,5,6,4,5,3,1,1,1,1,2,5,2,4,5,3,1,4,24,1
63435,4,4,5,4,6,2,2,2,4,6,1,2,4,5,3,1,1,3,4,3,5,4,3,3,2,2,NA,57,1
63437,4,2,5,1,5,2,1,1,4,6,1,1,5,5,1,1,2,4,5,1,6,2,5,NA,2,1,3,20,1
63438,1,6,6,5,6,4,4,5,3,3,2,3,5,5,5,1,4,3,4,5,4,1,5,6,3,1,3,22,1
63439,2,5,5,6,4,4,4,4,4,4,2,4,4,4,5,4,4,5,4,3,4,1,5,6,3,2,3,21,1
63441,2,5,4,4,5,3,3,5,5,5,5,5,3,5,4,3,2,2,6,5,3,5,3,5,4,2,4,23,1
63442,3,5,5,5,5,4,4,5,3,NA,2,2,4,5,4,1,3,3,1,2,5,4,4,4,3,2,3,22,1
63444,1,5,4,6,5,4,4,5,3,5,3,5,5,5,4,6,6,5,5,5,5,3,5,6,5,2,3,20,1
63445,1,5,1,6,6,4,6,4,4,5,NA,2,5,6,5,4,5,5,4,6,6,2,5,6,2,2,3,31,1
63446,2,5,5,2,4,2,3,2,4,5,4,4,4,3,2,4,5,6,6,5,4,4,5,6,2,1,2,48,1
63448,1,6,6,4,5,6,4,6,1,2,1,2,3,5,4,1,4,4,2,1,5,2,3,4,4,2,5,29,1
63450,2,5,5,5,3,5,5,4,3,4,5,4,1,2,5,4,5,5,2,2,6,5,3,6,2,2,3,23,1
63452,1,6,6,5,5,6,5,4,1,2,2,1,5,5,4,3,3,3,3,4,4,1,6,4,1,2,1,34,1
63454,5,5,4,5,5,4,4,4,2,4,1,2,5,5,5,2,3,2,1,1,5,2,4,4,2,1,3,21,1
63455,4,6,5,5,6,5,6,6,2,4,5,4,4,5,6,5,5,4,6,4,6,5,5,5,5,2,3,27,1
63458,1,4,2,3,4,2,2,4,3,5,5,4,4,4,1,1,1,1,1,1,2,4,2,3,5,2,4,28,1
63459,1,NA,4,6,3,6,6,2,2,4,1,5,6,6,5,1,2,2,5,3,6,2,5,6,1,1,3,19,1
63463,1,4,3,6,3,3,1,2,4,6,1,3,4,6,4,5,6,4,5,5,6,6,2,2,3,2,1,16,1
63464,1,4,5,6,6,6,5,5,1,2,5,2,4,6,5,4,4,2,3,1,4,4,4,5,3,1,4,41,1
63465,2,6,5,5,5,4,1,5,4,6,1,5,6,4,4,5,6,6,5,4,5,1,6,6,1,2,2,34,1
63466,1,6,6,6,6,6,5,5,1,1,1,1,5,5,6,1,1,1,1,1,6,2,5,2,1,1,4,32,1
63467,6,6,6,6,6,6,5,1,1,1,6,6,1,6,6,1,6,1,6,1,6,6,1,6,1,1,1,31,1
63468,3,5,3,4,2,5,5,4,2,5,3,2,3,2,5,5,4,3,2,2,6,1,6,6,1,2,3,22,1
63470,4,6,6,6,6,6,6,6,4,1,1,3,6,5,5,1,4,5,5,6,5,5,5,6,5,2,3,31,1
63472,6,2,4,1,5,5,5,5,2,4,2,4,3,5,5,6,6,6,5,4,4,2,3,5,1,2,NA,33,1
63473,1,5,4,4,4,3,2,5,4,5,5,6,3,2,1,1,1,4,6,1,4,1,4,6,4,1,2,35,1
63476,3,5,5,6,5,5,5,6,2,3,2,4,3,6,4,3,2,3,2,1,4,3,4,5,3,2,2,48,1
63479,1,2,5,6,5,3,4,5,1,1,2,2,5,5,5,1,1,2,4,2,5,1,5,5,2,1,5,34,1
63480,1,6,6,4,5,5,6,5,2,4,2,2,4,4,6,2,2,5,4,1,6,1,5,6,1,2,5,31,1
63481,2,4,4,4,5,4,4,2,2,4,4,5,2,5,4,1,4,1,2,1,5,1,5,5,3,1,4,32,1
63485,2,4,3,4,3,2,3,5,4,5,5,5,1,3,4,5,5,5,6,5,5,2,5,6,6,2,3,20,1
63486,5,4,5,4,4,4,6,4,2,3,1,2,5,4,6,1,4,1,1,1,5,1,5,5,1,2,3,19,1
63488,1,5,5,6,5,5,5,2,2,2,4,2,4,5,5,2,4,2,2,1,1,4,5,5,3,2,5,50,1
63491,6,6,6,6,6,6,6,6,1,1,4,1,5,6,5,1,4,5,5,6,4,4,5,6,6,2,3,35,1
63493,4,6,5,6,5,3,3,2,3,6,6,6,6,1,3,1,2,4,5,1,3,6,4,6,4,2,2,23,1
63494,4,3,3,4,3,5,5,4,3,5,5,4,2,3,3,3,3,2,3,3,5,1,5,6,2,1,1,18,1
63496,2,5,5,6,5,3,5,5,2,1,2,2,5,6,5,2,3,2,1,1,5,5,4,3,2,2,1,21,1
63498,2,5,5,6,5,4,3,3,2,3,5,4,4,5,2,4,4,4,3,3,6,2,4,6,2,2,3,20,1
63499,1,6,5,4,6,4,2,4,4,5,2,2,5,4,5,4,4,4,4,4,6,2,4,4,4,1,5,54,1
63501,4,3,6,4,6,2,5,6,1,1,5,2,6,1,2,3,3,1,4,3,4,6,4,6,3,2,3,51,1
63502,3,4,4,6,4,3,4,4,4,1,1,4,4,4,5,1,4,1,2,4,6,4,4,1,1,2,2,20,1
63504,1,6,4,4,4,6,2,5,2,1,6,5,1,4,1,1,6,5,4,6,2,6,1,6,1,2,1,38,1
63505,1,5,5,1,6,6,5,5,1,6,2,1,5,5,6,1,1,5,5,6,4,5,5,5,4,2,4,53,1
63509,2,4,2,2,3,5,5,5,3,5,4,4,2,5,5,5,5,5,5,3,5,3,4,6,2,2,NA,17,1
63510,6,6,1,3,5,6,6,6,1,1,3,1,2,2,6,1,2,2,3,1,6,1,4,1,3,2,1,33,1
63512,5,4,1,2,2,5,5,4,4,6,6,4,3,2,2,4,5,2,5,5,6,2,4,6,6,2,3,17,1
63513,3,4,4,2,3,3,2,3,4,5,4,4,6,2,3,2,3,5,5,2,6,1,5,6,2,2,NA,15,1
63516,2,6,6,6,6,6,6,6,2,5,4,3,5,6,5,3,3,2,4,3,6,1,5,5,1,2,2,38,1
63518,5,6,6,6,3,5,6,1,6,6,6,6,6,3,6,6,6,5,6,6,6,4,6,6,1,2,NA,13,1
63521,1,6,4,4,5,3,6,3,2,2,2,2,5,5,5,3,4,2,1,2,4,2,5,6,2,2,5,34,1
63525,3,4,4,2,4,5,4,4,4,2,6,5,4,3,3,3,4,1,1,1,4,3,3,4,1,1,NA,14,1
63528,1,4,2,5,2,1,2,1,2,4,6,6,1,2,1,2,3,4,5,5,3,2,1,5,3,2,1,20,1
63530,3,5,4,6,4,5,6,5,1,2,1,4,5,5,6,6,6,5,1,2,6,2,5,6,1,2,4,27,1
63531,2,6,5,2,5,5,2,4,1,3,1,1,5,6,5,3,2,1,2,1,4,3,3,4,2,2,2,42,1
63533,2,3,4,2,5,5,6,5,1,6,3,5,1,5,4,1,5,1,1,1,5,1,6,6,2,2,1,18,1
63534,4,5,5,5,3,4,4,4,3,5,3,4,4,3,NA,4,5,4,3,4,3,5,4,6,2,2,3,20,1
63536,1,6,6,3,5,6,4,6,1,3,3,2,NA,5,6,3,2,2,5,1,6,1,5,6,1,2,5,56,1
63538,2,5,5,4,5,5,5,5,1,4,3,3,5,5,5,3,3,2,2,3,NA,4,4,4,5,1,3,20,1
63547,2,4,5,4,4,5,5,2,1,1,5,4,5,3,4,2,4,4,3,3,5,1,4,6,2,1,NA,37,1
63549,1,NA,5,2,4,5,6,4,NA,2,4,4,5,2,5,2,2,3,5,5,5,6,4,3,4,2,NA,15,1
63551,2,6,5,4,6,4,3,4,4,6,4,5,5,5,3,4,5,5,6,6,6,4,4,6,2,2,1,20,1
63554,4,5,4,6,4,4,5,5,3,6,1,1,4,6,4,3,4,3,1,4,3,3,4,2,3,2,3,19,1
63555,1,6,5,4,5,5,4,5,3,5,4,3,4,5,4,2,4,2,2,5,4,4,6,6,3,1,3,20,1
63556,1,3,5,6,6,3,5,4,2,5,2,2,4,6,3,2,3,2,2,4,5,4,4,5,3,2,3,19,1
63557,3,5,5,6,6,5,5,6,3,4,2,1,6,5,6,1,2,2,1,1,6,2,6,6,1,1,3,20,1
63558,5,6,6,5,4,4,3,6,4,3,2,1,6,6,4,3,2,3,4,2,4,5,4,4,3,2,1,43,1
63559,1,6,6,6,5,5,5,6,1,1,2,2,4,4,5,1,2,1,2,1,6,1,5,6,1,2,5,43,1
63560,1,5,3,4,3,6,6,6,1,4,6,6,3,1,2,4,5,5,NA,2,4,1,6,6,1,2,4,26,1
63562,2,4,5,4,5,3,4,4,5,6,5,3,3,5,2,4,4,4,5,3,4,4,3,5,4,2,NA,18,1
63567,2,3,3,5,3,2,3,3,3,5,2,5,5,4,2,5,5,5,5,4,5,2,5,6,1,1,4,24,1
63575,2,5,5,2,5,4,4,3,4,5,3,2,2,4,3,1,2,4,4,2,5,3,6,6,2,2,3,20,1
63578,1,5,6,6,6,5,4,5,2,4,1,2,5,6,4,2,3,2,5,2,6,1,6,6,1,2,2,23,1
63579,2,4,5,5,4,6,6,5,1,3,2,1,2,6,5,4,3,2,2,2,6,1,5,5,5,2,3,25,1
63580,1,4,4,5,4,3,4,3,5,4,1,2,5,5,4,5,3,4,4,4,6,4,4,4,5,2,4,25,1
63581,2,5,5,4,4,5,5,5,1,3,1,2,5,6,5,2,4,2,2,2,6,1,6,6,1,1,5,37,1
63582,1,4,4,5,3,2,5,5,2,6,2,2,1,2,5,5,5,5,5,1,2,2,5,5,2,1,5,51,1
63583,2,4,6,6,6,6,6,3,1,1,5,4,3,5,4,2,2,4,5,2,6,2,5,6,1,2,3,36,1
63584,3,4,5,4,4,NA,4,4,3,5,2,4,4,5,4,3,3,3,2,3,4,5,3,4,4,1,3,21,1
63586,2,5,5,5,4,5,5,5,2,4,2,4,4,4,5,2,2,2,1,3,6,1,5,6,1,1,5,56,1
